CUSTOMER_ID,CUSTOMER_NUMBER,CUSTOMER_TYPE,FIRST_NAME,LAST_NAME,BUSINESS_NAME,DATE_OF_BIRTH,TAX_ID_LAST_FOUR,PHONE_NUMBER,EMAIL_ADDRESS,ADDRESS_LINE_1,CITY,STATE_CODE,POSTAL_CODE,ANNUAL_INCOME,RISK_RATING,CUSTOMER_SINCE_DATE,PRIMARY_BRANCH_ID,CUSTOMER_STATUS,CREATED_TS,UPDATED_TS
11,C0000000011,INDIVIDUAL,Aaron,Hayes,,1964-12-25,7953,+1-574-803-4471x349,stephensdeborah@example.com,02499 Gonzales Mountain,Hollyview,MA,66098,97116.73,LOW,2003-03-06,21,ACTIVE,2003-03-06 00:00:00,2026-07-18 00:00:00
12,C0000000012,INDIVIDUAL,Amber,Kim,,1976-07-08,3119,+1-606-259-4013x990,thomaspearson@example.com,671 Bailey Isle,Elizabethburgh,NY,43729,91838.38,LOW,2010-11-25,16,ACTIVE,2010-11-25 00:00:00,2026-07-18 00:00:00
13,C0000000013,INDIVIDUAL,Robert,Simpson,,1944-11-10,1612,+1-968-807-1545x16808,lopezmichael@example.com,34824 Gilmore Oval Apt. 093,West Andrea,NY,72885,62088.55,LOW,2018-06-10,13,ACTIVE,2018-06-10 00:00:00,2026-07-18 00:00:00
14,C0000000014,INDIVIDUAL,Ricky,Walker,,1957-01-23,8786,971-927-4846,stephenthomas@example.org,46584 Justin Hills,Grimesmouth,VT,71093,111299.79,LOW,2004-11-25,8,ACTIVE,2004-11-25 00:00:00,2026-07-18 00:00:00
15,C0000000015,INDIVIDUAL,Todd,Cook,,1946-10-06,7260,001-886-875-3396x36057,tylerjohnson@example.net,71870 Robert Shoal Apt. 174,Cindyfurt,NY,85676,77430.04,LOW,2011-03-16,20,ACTIVE,2011-03-16 00:00:00,2026-07-18 00:00:00
16,C0000000016,INDIVIDUAL,Christopher,Murphy,,1961-03-16,2724,+1-386-357-8091x34316,tjackson@example.org,0455 Thomas Pines,Knightburgh,VT,22781,37323.9,LOW,2004-03-08,9,ACTIVE,2004-03-08 00:00:00,2026-07-18 00:00:00
17,C0000000017,INDIVIDUAL,Gregory,Lynch,,1940-02-05,6396,(693)479-2374x7407,alexandermichael@example.net,647 Gonzalez Lights Suite 136,Baileyport,CT,03376,73336.44,MEDIUM,2002-08-18,17,ACTIVE,2002-08-18 00:00:00,2026-07-18 00:00:00
18,C0000000018,INDIVIDUAL,Tiffany,Barrett,,1983-08-30,2536,609-409-7439x533,bergerdebbie@example.com,95214 Burgess Extensions Apt. 285,Mariaview,MA,63657,35334.48,LOW,2024-12-05,4,ACTIVE,2024-12-05 00:00:00,2026-07-18 00:00:00
19,C0000000019,INDIVIDUAL,Tammy,Phillips,,1968-02-19,0936,317-912-3685x16048,emily49@example.com,37098 Herman Forges Apt. 746,East Brandonton,NY,40394,97066.12,LOW,2024-04-27,19,ACTIVE,2024-04-27 00:00:00,2026-07-18 00:00:00
20,C0000000020,INDIVIDUAL,Wendy,Wilson,,1985-07-23,1312,482.867.5869,basschristina@example.com,537 Sampson Walk,Corystad,MA,71865,58252.41,LOW,2023-10-28,5,ACTIVE,2023-10-28 00:00:00,2026-07-18 00:00:00
21,C0000000021,INDIVIDUAL,Rachel,Newman,,1991-02-09,4033,2642317139,john29@example.org,393 Mark Drive,West Micheleberg,NY,17539,54085.73,LOW,2010-07-20,16,ACTIVE,2010-07-20 00:00:00,2026-07-18 00:00:00
22,C0000000022,INDIVIDUAL,Amber,Lindsey,,1963-05-24,3346,402-605-3950,martinezrobert@example.org,7589 Shannon Forges,Lake Kristahaven,CT,40036,41170.97,LOW,2025-05-09,15,ACTIVE,2025-05-09 00:00:00,2026-07-18 00:00:00
23,C0000000023,INDIVIDUAL,Stephen,Maynard,,1946-07-05,0152,7764617711,martinezclaudia@example.net,9847 Garcia Squares Apt. 836,Beasleychester,VT,44925,117289.17,LOW,2013-06-16,21,ACTIVE,2013-06-16 00:00:00,2026-07-18 00:00:00
24,C0000000024,INDIVIDUAL,Maria,Ross,,1963-10-17,2170,001-815-365-4527x1111,lisa80@example.net,165 Parrish Stravenue Apt. 494,Dalehaven,CT,28385,54995.62,MEDIUM,2003-04-15,10,ACTIVE,2003-04-15 00:00:00,2026-07-18 00:00:00
25,C0000000025,INDIVIDUAL,Eric,Olson,,1988-09-25,4956,258-651-4936,whitejacqueline@example.com,0229 Jones Streets Apt. 183,Barnesmouth,NY,21132,47307.29,MEDIUM,2007-01-28,20,ACTIVE,2007-01-28 00:00:00,2026-07-18 00:00:00
26,C0000000026,INDIVIDUAL,Mitchell,Griffith,,1952-01-18,4333,001-999-810-2290x14767,jason81@example.com,49784 Jeffrey Rapid Apt. 034,Port Derrick,NY,33992,49331.92,MEDIUM,2004-08-24,20,ACTIVE,2004-08-24 00:00:00,2026-07-18 00:00:00
27,C0000000027,INDIVIDUAL,Keith,Wilson,,1970-10-05,3335,862.226.8388x5160,umorse@example.net,664 Richard Islands Apt. 975,South Meganbury,CT,57605,80239.41,LOW,2012-08-21,11,ACTIVE,2012-08-21 00:00:00,2026-07-18 00:00:00
28,C0000000028,INDIVIDUAL,Brianna,Warren,,1958-12-31,4533,(745)435-2181x8835,curtisscott@example.org,127 Webster Trace,Maldonadoshire,NY,84779,73203.19,LOW,2002-04-12,7,ACTIVE,2002-04-12 00:00:00,2026-07-18 00:00:00
29,C0000000029,INDIVIDUAL,Cynthia,Weber,,1979-08-22,9038,+1-352-671-7744x9058,dhayes@example.com,19986 Carpenter Turnpike Apt. 793,Cassidyhaven,VT,20274,75132.08,LOW,2011-10-01,6,ACTIVE,2011-10-01 00:00:00,2026-07-18 00:00:00
30,C0000000030,BUSINESS,,,Hayes LLC,,6049,001-718-720-3778x892,paul59@example.org,51864 Cummings Shoals Apt. 519,West Kyle,MA,86491,611161.03,LOW,2006-09-08,4,ACTIVE,2006-09-08 00:00:00,2026-07-18 00:00:00
31,C0000000031,INDIVIDUAL,Holly,Myers,,1949-06-03,4088,+1-214-786-5281x685,henry35@example.com,22141 Ebony Wells,New Nicholas,NY,21767,194445.3,LOW,2001-10-15,20,ACTIVE,2001-10-15 00:00:00,2026-07-18 00:00:00
32,C0000000032,INDIVIDUAL,Henry,Schwartz,,1953-11-12,3878,+1-527-606-5379x473,mmckee@example.com,4688 Burch Viaduct Apt. 924,Lake Timothystad,MA,73185,47880.89,HIGH,2018-03-25,8,INACTIVE,2018-03-25 00:00:00,2026-07-18 00:00:00
33,C0000000033,INDIVIDUAL,Sarah,Dawson,,1981-06-20,5442,214.812.4782x61375,sandersnathaniel@example.com,3051 Moody Dam,West Samanthafort,VT,91736,45173.53,MEDIUM,2001-02-10,10,ACTIVE,2001-02-10 00:00:00,2026-07-18 00:00:00
34,C0000000034,INDIVIDUAL,Mariah,Blake,,1943-06-22,7711,379.601.0432x8986,kevinwilliams@example.com,17980 Jennifer Highway Suite 095,New Robert,MA,87581,38270.13,LOW,2004-11-06,17,ACTIVE,2004-11-06 00:00:00,2026-07-18 00:00:00
35,C0000000035,INDIVIDUAL,Elizabeth,Mills,,1957-04-29,6528,(718)688-8806x706,kellycarlos@example.org,520 Payne Via,Port Kimberly,CT,61400,84018.2,LOW,2010-03-17,5,ACTIVE,2010-03-17 00:00:00,2026-07-18 00:00:00
36,C0000000036,INDIVIDUAL,Tina,Mendoza,,1985-09-13,6548,(221)770-4303,zachary87@example.com,345 Michelle Isle,Davidstad,CT,57773,111405.81,HIGH,2012-07-09,6,ACTIVE,2012-07-09 00:00:00,2026-07-18 00:00:00
37,C0000000037,INDIVIDUAL,Pamela,Paul,,1963-10-25,0626,(452)677-5841x6169,curtis54@example.com,627 West Stream Suite 964,North Emilyfurt,NY,48120,56236.93,LOW,2011-09-19,14,ACTIVE,2011-09-19 00:00:00,2026-07-18 00:00:00
38,C0000000038,INDIVIDUAL,William,Brady,,1985-11-18,1894,(702)797-0213,cherring@example.net,755 Hines Ports,New Michael,VT,41708,37718.8,MEDIUM,2014-01-26,9,ACTIVE,2014-01-26 00:00:00,2026-07-18 00:00:00
39,C0000000039,INDIVIDUAL,Debra,Wright,,1988-04-21,3228,602-978-6814,wendymitchell@example.com,21727 Lisa Vista,Elizabethland,CT,72590,38045.4,LOW,2019-07-24,24,ACTIVE,2019-07-24 00:00:00,2026-07-18 00:00:00
40,C0000000040,INDIVIDUAL,Amber,Vance,,1951-03-07,4920,(925)283-1323,angela57@example.net,114 Key Stravenue,Foxchester,CT,75854,85633.0,MEDIUM,2014-01-30,13,ACTIVE,2014-01-30 00:00:00,2026-07-18 00:00:00
41,C0000000041,INDIVIDUAL,Charles,Compton,,1957-03-18,6888,+1-217-378-5289x2268,kevinmartin@example.net,8414 Cynthia Plaza,Davidport,VT,81035,90110.3,MEDIUM,2013-04-06,8,ACTIVE,2013-04-06 00:00:00,2026-07-18 00:00:00
42,C0000000042,INDIVIDUAL,Amanda,Shaw,,1940-01-14,4978,(299)222-9959,williamsdarlene@example.net,396 Tyler Road Suite 473,Evansland,CT,90758,80719.45,LOW,2013-07-01,21,ACTIVE,2013-07-01 00:00:00,2026-07-18 00:00:00
43,C0000000043,INDIVIDUAL,Brian,Gonzales,,1979-09-01,3501,373.759.2555x6258,stevenadams@example.org,04696 Sydney Estate,Sarahmouth,VT,25382,41521.63,MEDIUM,2014-06-15,8,ACTIVE,2014-06-15 00:00:00,2026-07-18 00:00:00
44,C0000000044,INDIVIDUAL,Kathryn,Jimenez,,1970-01-26,1530,277.247.0168x73395,troy74@example.net,62456 Williams Center,West Angela,MA,10138,68028.96,MEDIUM,2012-09-23,10,ACTIVE,2012-09-23 00:00:00,2026-07-18 00:00:00
45,C0000000045,INDIVIDUAL,Paul,Cole,,1961-12-19,7784,+1-749-791-2165,jameshicks@example.net,02578 Hernandez Passage,West Sarah,NY,42251,63842.68,LOW,2006-08-11,23,ACTIVE,2006-08-11 00:00:00,2026-07-18 00:00:00
46,C0000000046,INDIVIDUAL,Francisco,Ewing,,1961-11-20,2417,001-749-358-8879x4705,ysilva@example.net,749 Jennifer Prairie,Jacksonfurt,NY,19870,67526.73,MEDIUM,2017-03-23,6,ACTIVE,2017-03-23 00:00:00,2026-07-18 00:00:00
47,C0000000047,INDIVIDUAL,Lorraine,Allen,,1986-06-20,7611,001-513-807-5626,vsalas@example.net,283 Bolton Neck,Edwardsburgh,NY,60750,96691.99,LOW,2009-10-25,6,ACTIVE,2009-10-25 00:00:00,2026-07-18 00:00:00
48,C0000000048,INDIVIDUAL,Rhonda,Peterson,,1990-02-21,9755,(549)973-3484x344,timothy84@example.com,866 Blevins Unions,West Bobby,CT,94104,67709.21,HIGH,2020-11-03,17,ACTIVE,2020-11-03 00:00:00,2026-07-18 00:00:00
49,C0000000049,INDIVIDUAL,Christian,Bradshaw,,1989-02-24,7305,+1-547-533-8484x2199,santiagoamanda@example.net,16571 Adam Plaza,South Denise,MA,62851,86977.3,MEDIUM,2022-08-23,18,ACTIVE,2022-08-23 00:00:00,2026-07-18 00:00:00
50,C0000000050,INDIVIDUAL,Thomas,Gonzalez,,1964-11-16,8540,854-901-9380x2620,sharonhayden@example.com,49915 Gibson Row,Smallberg,VT,66589,62141.45,LOW,2011-02-02,11,ACTIVE,2011-02-02 00:00:00,2026-07-18 00:00:00
51,C0000000051,INDIVIDUAL,Taylor,Lee,,1970-02-17,5238,552-474-2054,gwilcox@example.com,1227 Boyle Avenue,Patrickmouth,NY,99297,70193.83,LOW,2012-10-25,10,ACTIVE,2012-10-25 00:00:00,2026-07-18 00:00:00
52,C0000000052,INDIVIDUAL,Joseph,Rivera,,1945-10-05,6797,001-690-445-3017,tparks@example.com,459 Jeffrey Dale,Hernandezstad,VT,55006,84728.6,LOW,2006-11-08,17,ACTIVE,2006-11-08 00:00:00,2026-07-18 00:00:00
53,C0000000053,INDIVIDUAL,Jacqueline,Durham,,1974-12-10,9569,001-583-439-1878x51910,markmeyer@example.org,971 Stokes Motorway,New Robert,NY,74413,26864.59,MEDIUM,2009-04-11,21,ACTIVE,2009-04-11 00:00:00,2026-07-18 00:00:00
54,C0000000054,INDIVIDUAL,Brian,Ford,,1953-05-24,6389,206-340-3910x6518,ajohnson@example.org,656 Kane Lane,Millerside,VT,17932,50220.61,LOW,2000-04-06,20,INACTIVE,2000-04-06 00:00:00,2026-07-18 00:00:00
55,C0000000055,INDIVIDUAL,Desiree,Bailey,,1964-06-26,7140,(986)882-3004,pmorrow@example.com,43106 John Cliff Apt. 907,East Joyfurt,VT,58036,46225.88,LOW,2009-11-22,13,ACTIVE,2009-11-22 00:00:00,2026-07-18 00:00:00
56,C0000000056,INDIVIDUAL,Jimmy,Robinson,,1981-12-06,2091,001-502-884-3959x95342,joshua89@example.net,687 Teresa Row,Floydmouth,NY,91767,42134.29,MEDIUM,2018-02-19,21,ACTIVE,2018-02-19 00:00:00,2026-07-18 00:00:00
57,C0000000057,INDIVIDUAL,Robert,Hernandez,,1959-03-24,2223,(428)873-3427x0866,jonathanrivera@example.org,1830 Bennett Rapids Apt. 139,South Jason,VT,44143,51465.75,LOW,2001-03-20,11,ACTIVE,2001-03-20 00:00:00,2026-07-18 00:00:00
58,C0000000058,INDIVIDUAL,Kevin,Stout,,1970-04-12,6211,731.673.9363,powens@example.com,5877 Leah Stravenue Suite 535,Robertshire,CT,29503,136246.05,MEDIUM,2009-06-29,16,ACTIVE,2009-06-29 00:00:00,2026-07-18 00:00:00
59,C0000000059,INDIVIDUAL,Joyce,Smith,,1944-09-02,5733,+1-899-564-2353,rpierce@example.com,7725 Donald Plains Suite 280,Port Melanieton,MA,01337,37189.91,MEDIUM,2003-09-03,23,ACTIVE,2003-09-03 00:00:00,2026-07-18 00:00:00
60,C0000000060,BUSINESS,,,Taylor-Mccoy,,3266,920-938-7509,smithandrea@example.org,484 Wayne Square,Drakeburgh,NY,14527,914569.52,LOW,2001-05-23,10,INACTIVE,2001-05-23 00:00:00,2026-07-18 00:00:00
61,C0000000061,INDIVIDUAL,Samantha,Warren,,1959-07-22,7619,739.884.5461,scunningham@example.org,101 Gray Plaza Suite 002,South Meganmouth,CT,74668,23728.25,MEDIUM,2005-02-17,8,ACTIVE,2005-02-17 00:00:00,2026-07-18 00:00:00
62,C0000000062,INDIVIDUAL,Tiffany,Dickson,,1954-09-10,5096,703.239.7401x48902,brendagoodwin@example.net,42939 Rhodes Plains Suite 621,Brianchester,NY,30928,49802.14,LOW,2005-02-19,12,ACTIVE,2005-02-19 00:00:00,2026-07-18 00:00:00
63,C0000000063,INDIVIDUAL,Mary,Peterson,,1957-10-16,1245,001-499-865-0477x35866,bartonkenneth@example.org,42626 Ward Course,West Seanview,MA,13900,65480.93,LOW,2016-11-01,12,ACTIVE,2016-11-01 00:00:00,2026-07-18 00:00:00
64,C0000000064,INDIVIDUAL,David,Lopez,,1943-09-07,5688,788.886.1015x819,carterpaul@example.org,826 Dominic Hollow,Trevorland,VT,22417,82654.31,MEDIUM,2005-06-06,5,ACTIVE,2005-06-06 00:00:00,2026-07-18 00:00:00
65,C0000000065,INDIVIDUAL,Ryan,Fisher,,1977-09-07,8031,215.843.7993x7124,meagan65@example.com,9245 Timothy Fall Suite 547,West Nicholas,NY,52003,88536.89,LOW,2015-04-22,14,ACTIVE,2015-04-22 00:00:00,2026-07-18 00:00:00
66,C0000000066,INDIVIDUAL,Michael,Frederick,,1979-01-26,2885,698.328.0737,ichambers@example.net,42661 Ewing Neck Suite 886,Port Tanyaside,CT,78334,92627.47,LOW,2020-08-15,20,ACTIVE,2020-08-15 00:00:00,2026-07-18 00:00:00
67,C0000000067,INDIVIDUAL,Danielle,Miller,,1993-02-25,4397,001-535-529-0965x61014,dbrooks@example.net,0714 Knapp Corner,Port Sheliaberg,CT,46157,49424.48,MEDIUM,2020-11-07,5,ACTIVE,2020-11-07 00:00:00,2026-07-18 00:00:00
68,C0000000068,INDIVIDUAL,Larry,Gibson,,1981-09-09,9336,387.657.1775,patrickdarin@example.com,238 Andrea Isle,Mullenbury,VT,53591,46430.25,LOW,2020-03-21,18,ACTIVE,2020-03-21 00:00:00,2026-07-18 00:00:00
69,C0000000069,INDIVIDUAL,Crystal,Lopez,,1971-10-31,4232,+1-366-309-3796x60334,michaelgonzalez@example.org,785 Carr Radial Apt. 557,Port Emily,CT,39487,95979.2,LOW,2008-02-27,22,ACTIVE,2008-02-27 00:00:00,2026-07-18 00:00:00
70,C0000000070,INDIVIDUAL,Samantha,Lawrence,,1986-05-07,3130,+1-425-813-4125x28669,olopez@example.net,274 Jacob Ville,Harveystad,NY,01757,53894.44,LOW,2012-05-23,16,ACTIVE,2012-05-23 00:00:00,2026-07-18 00:00:00
71,C0000000071,INDIVIDUAL,Todd,Lee,,1984-01-13,7342,(588)676-7677x2190,hillamanda@example.org,788 Ashley Grove Suite 807,South Curtis,NY,86179,29684.27,LOW,2010-10-12,10,ACTIVE,2010-10-12 00:00:00,2026-07-18 00:00:00
72,C0000000072,INDIVIDUAL,Karen,Evans,,1992-03-04,6046,7748517133,christinaglover@example.org,584 Mario Squares,Keithview,VT,67926,32102.59,LOW,2010-11-30,14,ACTIVE,2010-11-30 00:00:00,2026-07-18 00:00:00
73,C0000000073,INDIVIDUAL,Tricia,Shelton,,2003-01-21,7434,726-504-2232,kburns@example.net,667 Cynthia Trafficway Apt. 684,Shawnfort,CT,43399,36109.14,LOW,2024-09-08,10,ACTIVE,2024-09-08 00:00:00,2026-07-18 00:00:00
74,C0000000074,INDIVIDUAL,Brandi,Melton,,1988-01-28,3033,001-617-751-8636x3745,ashleewashington@example.com,17012 Bryant Meadow,Lake Regina,MA,85697,78703.15,LOW,2008-08-21,18,ACTIVE,2008-08-21 00:00:00,2026-07-18 00:00:00
75,C0000000075,INDIVIDUAL,Kevin,Baxter,,1987-01-25,9777,315-341-5206x436,lewischristian@example.net,700 Montoya Wall,Bensonfort,CT,09784,64752.93,HIGH,2026-06-12,9,INACTIVE,2026-06-12 00:00:00,2026-07-18 00:00:00
76,C0000000076,INDIVIDUAL,Jeremy,Davis,,1941-04-08,8751,315-254-2622,scottbowen@example.net,9731 Donald Crossing,Bellchester,MA,41723,87532.63,LOW,2016-03-09,4,ACTIVE,2016-03-09 00:00:00,2026-07-18 00:00:00
77,C0000000077,INDIVIDUAL,Kylie,Wright,,1984-01-15,1680,+1-513-889-9940x4389,debbie37@example.com,79180 Peck Curve,Valenciashire,NY,55664,47335.27,LOW,2005-08-30,18,ACTIVE,2005-08-30 00:00:00,2026-07-18 00:00:00
78,C0000000078,INDIVIDUAL,Michael,Vega,,1944-08-10,4136,001-871-809-1043x00684,imiller@example.net,1418 Terri Drives,Peterland,VT,41155,65329.36,LOW,2015-04-14,5,ACTIVE,2015-04-14 00:00:00,2026-07-18 00:00:00
79,C0000000079,INDIVIDUAL,Holly,Blair,,1944-10-22,2485,203.616.1799,davidzimmerman@example.net,75884 Nathan Summit,Jessicaville,MA,04348,84463.5,MEDIUM,2003-04-28,12,ACTIVE,2003-04-28 00:00:00,2026-07-18 00:00:00
80,C0000000080,BUSINESS,,,Roman-Nelson,,6818,949-417-7850,eric19@example.net,80003 Thomas Lights,East Sarah,MA,05136,350806.51,MEDIUM,2011-02-18,15,ACTIVE,2011-02-18 00:00:00,2026-07-18 00:00:00
81,C0000000081,INDIVIDUAL,Angela,Sloan,,1992-10-18,7025,001-263-453-6541x9518,lindajarvis@example.com,4451 Smith Flats,Anneport,CT,97438,76974.26,LOW,2019-11-10,4,ACTIVE,2019-11-10 00:00:00,2026-07-18 00:00:00
82,C0000000082,INDIVIDUAL,Cindy,Marshall,,1958-08-22,3457,001-573-783-2060,tapiaaaron@example.net,413 Robert Circle Apt. 410,Port April,CT,92362,41603.55,MEDIUM,2004-06-13,8,INACTIVE,2004-06-13 00:00:00,2026-07-18 00:00:00
83,C0000000083,INDIVIDUAL,Paula,Ellis,,1940-03-28,6693,001-519-618-2619x9062,melissa65@example.com,3132 Eric Expressway Suite 756,New Michaelborough,VT,59734,49036.51,MEDIUM,2024-10-04,18,ACTIVE,2024-10-04 00:00:00,2026-07-18 00:00:00
84,C0000000084,INDIVIDUAL,Kyle,Baker,,1965-05-13,7438,312-549-0352,randy04@example.com,67883 Steven Unions,North Alexander,NY,29636,48535.18,MEDIUM,2010-05-20,11,ACTIVE,2010-05-20 00:00:00,2026-07-18 00:00:00
85,C0000000085,INDIVIDUAL,David,Colon,,1957-09-30,6965,(719)394-1013x721,dunlapbrent@example.net,670 Vega Extensions Suite 324,Seanberg,NY,05042,31016.92,LOW,2026-06-16,23,ACTIVE,2026-06-16 00:00:00,2026-07-18 00:00:00
86,C0000000086,INDIVIDUAL,Christina,Jensen,,1946-05-28,0977,+1-547-268-7014x6263,wcasey@example.com,9856 White Island Apt. 040,Morenoshire,MA,31009,78263.36,MEDIUM,2011-12-01,22,ACTIVE,2011-12-01 00:00:00,2026-07-18 00:00:00
87,C0000000087,INDIVIDUAL,Terri,Garcia,,1979-05-26,2037,+1-734-280-3965x22395,stacey92@example.net,8427 Christopher Fort,North Alisha,VT,00590,46250.55,MEDIUM,2025-07-13,25,ACTIVE,2025-07-13 00:00:00,2026-07-18 00:00:00
88,C0000000088,INDIVIDUAL,Martin,Mendez,,1984-04-19,7172,(352)750-0292,brookssheri@example.com,4522 Conner Oval,Grantside,NY,91407,60287.0,LOW,2012-03-18,16,ACTIVE,2012-03-18 00:00:00,2026-07-18 00:00:00
89,C0000000089,INDIVIDUAL,Pamela,Austin,,1960-07-15,9424,(239)426-4422x096,samantha93@example.net,2513 Haas Expressway,Port Jennamouth,NY,59041,77995.83,HIGH,2011-03-26,24,ACTIVE,2011-03-26 00:00:00,2026-07-18 00:00:00
90,C0000000090,INDIVIDUAL,Alexander,Clark,,2007-11-06,2870,001-915-841-0067x626,amy17@example.net,71040 Green Cove,West Georgefurt,VT,21591,76541.79,LOW,2025-11-06,17,ACTIVE,2025-11-06 00:00:00,2026-07-18 00:00:00
91,C0000000091,INDIVIDUAL,Jessica,Payne,,1979-02-08,8056,859-497-0629,garciajamie@example.org,884 Evans Court Apt. 698,Hernandezstad,NY,01001,86332.54,LOW,2008-02-21,16,DECEASED,2008-02-21 00:00:00,2026-07-18 00:00:00
92,C0000000092,INDIVIDUAL,Ronald,Phillips,,1969-08-03,6744,+1-997-931-0324x17146,christopher86@example.org,5270 Gonzales Greens Apt. 490,Port Heather,VT,13176,56717.21,LOW,2004-09-09,15,ACTIVE,2004-09-09 00:00:00,2026-07-18 00:00:00
93,C0000000093,INDIVIDUAL,Christopher,Cooper,,1947-11-25,5153,+1-969-538-0686,zevans@example.net,989 David Throughway,Thompsonburgh,CT,28273,47438.33,LOW,2024-09-03,15,ACTIVE,2024-09-03 00:00:00,2026-07-18 00:00:00
94,C0000000094,INDIVIDUAL,Lindsey,Martinez,,1964-05-03,7569,(716)632-9451x16868,astark@example.net,62299 Sara Port Apt. 485,Bakerfort,VT,75477,57305.68,LOW,2000-01-19,19,ACTIVE,2000-01-19 00:00:00,2026-07-18 00:00:00
95,C0000000095,INDIVIDUAL,Chelsea,Johnson,,1944-08-18,3335,662-799-6065x307,morganlaura@example.com,1324 Schroeder Islands Suite 691,South Jason,CT,53869,23670.06,LOW,2022-05-12,12,ACTIVE,2022-05-12 00:00:00,2026-07-18 00:00:00
96,C0000000096,INDIVIDUAL,Joyce,Malone,,1996-07-09,9975,(408)521-4862x890,marywright@example.com,3457 Reid Crossing,East Nathanmouth,MA,23777,27013.4,MEDIUM,2021-09-28,12,ACTIVE,2021-09-28 00:00:00,2026-07-18 00:00:00
97,C0000000097,INDIVIDUAL,Susan,Wells,,1960-02-27,1858,+1-255-424-1406,mercedesholland@example.net,6800 Buck Rue,New Lauren,VT,29830,28926.55,HIGH,2024-10-09,23,ACTIVE,2024-10-09 00:00:00,2026-07-18 00:00:00
98,C0000000098,INDIVIDUAL,Johnny,Trujillo,,1966-03-08,8337,346-265-7437x4896,anna99@example.com,171 Mcneil Route Suite 444,East Zachary,CT,31997,34596.72,LOW,2022-05-10,18,ACTIVE,2022-05-10 00:00:00,2026-07-18 00:00:00
99,C0000000099,INDIVIDUAL,Rachel,Trujillo,,1952-12-22,6284,+1-565-720-7446x660,ginalittle@example.com,428 Kelly Mountains Apt. 482,Destinybury,MA,47068,74598.51,MEDIUM,2010-12-07,19,ACTIVE,2010-12-07 00:00:00,2026-07-18 00:00:00
